2017-05-04 23:56:45 26.8℃ 43.4％ 1019.83hPa
2017-05-05 12:05:32 28.5℃ 30.6％ 1016.33hPa
2017-05-05 12:05:54 28.5℃ 30.6％ 1016.38hPa
2017-05-05 12:06:17 28.5℃ 30.7％ 1016.31hPa
2017-05-05 12:06:39 28.5℃ 30.6％ 1016.33hPa
2017-05-05 12:07:09 28.4℃ 30.4％ 1016.35hPa
2017-05-05 12:07:31 28.5℃ 30.4％ 1016.38hPa
2017-05-05 12:07:56 28.5℃ 30.4％ 1016.45hPa
2017-05-05 12:08:18 28.4℃ 30.4％ 1016.40hPa
2017-05-05 12:08:41 28.5℃ 30.5％ 1016.37hPa
2017-05-05 12:09:03 28.5℃ 30.4％ 1016.37hPa
2017-05-05 12:09:25 28.4℃ 30.4％ 1016.42hPa
2017-05-05 12:09:47 28.5℃ 30.4％ 1016.36hPa
2017-05-05 12:10:10 28.5℃ 30.4％ 1016.43hPa
2017-05-05 12:10:32 28.5℃ 30.4％ 1016.37hPa
2017-05-05 12:10:54 28.5℃ 30.4％ 1016.45hPa
2017-05-05 12:11:17 28.5℃ 30.4％ 1016.41hPa
2017-05-05 12:11:42 28.5℃ 30.3％ 1016.36hPa
2017-05-05 12:12:04 28.5℃ 30.3％ 1016.42hPa
2017-05-05 12:12:26 28.5℃ 30.3％ 1016.39hPa
2017-05-05 12:12:49 28.5℃ 30.3％ 1016.33hPa
2017-05-05 12:13:11 28.5℃ 30.3％ 1016.38hPa
2017-05-05 12:13:33 28.5℃ 30.3％ 1016.43hPa
2017-05-05 12:13:55 28.5℃ 30.3％ 1016.39hPa
2017-05-05 12:14:18 28.5℃ 30.3％ 1016.36hPa
2017-05-05 12:14:40 28.5℃ 30.3％ 1016.38hPa
2017-05-05 12:15:02 28.4℃ 30.3％ 1016.41hPa
2017-05-05 12:15:25 28.6℃ 30.3％ 1016.28hPa
2017-05-05 12:15:47 28.5℃ 30.3％ 1016.40hPa
2017-05-05 12:16:09 28.6℃ 30.3％ 1016.35hPa
2017-05-05 12:16:32 28.5℃ 30.3％ 1016.39hPa
2017-05-05 12:16:54 28.6℃ 30.3％ 1016.30hPa
2017-05-05 12:17:16 28.6℃ 30.2％ 1016.34hPa
2017-05-05 12:17:38 28.5℃ 30.2％ 1016.37hPa
2017-05-05 12:18:01 28.6℃ 30.2％ 1016.35hPa
2017-05-05 12:18:23 28.6℃ 30.1％ 1016.33hPa
2017-05-05 12:18:45 28.5℃ 30.1％ 1016.39hPa
2017-05-05 12:19:08 28.6℃ 30.1％ 1016.40hPa
2017-05-05 12:19:30 28.6℃ 30.1％ 1016.37hPa
2017-05-05 12:19:52 28.6℃ 30.1％ 1016.39hPa
2017-05-05 12:20:15 28.6℃ 30.1％ 1016.43hPa
2017-05-05 12:20:37 28.7℃ 30.1％ 1016.46hPa
2017-05-05 12:20:59 28.6℃ 30.1％ 1016.39hPa
2017-05-05 12:21:22 28.6℃ 30.1％ 1016.35hPa
2017-05-05 12:21:46 28.5℃ 30.1％ 1016.38hPa
2017-05-05 12:22:09 28.7℃ 30.1％ 1016.38hPa
2017-05-05 12:22:31 28.5℃ 30.1％ 1016.44hPa
2017-05-05 12:22:53 28.7℃ 30.1％ 1016.42hPa
2017-05-05 12:23:16 28.6℃ 30.0％ 1016.39hPa
2017-05-05 12:23:38 28.6℃ 30.1％ 1016.41hPa
2017-05-05 12:24:00 28.7℃ 30.1％ 1016.39hPa
2017-05-05 12:24:23 28.6℃ 30.1％ 1016.36hPa
2017-05-05 12:24:45 28.5℃ 30.1％ 1016.40hPa
2017-05-05 12:25:07 28.5℃ 30.1％ 1016.33hPa
2017-05-05 12:25:29 28.6℃ 30.1％ 1016.40hPa
2017-05-05 12:25:52 28.7℃ 30.0％ 1016.42hPa
2017-05-05 12:26:14 28.6℃ 30.0％ 1016.39hPa
2017-05-05 12:26:36 28.7℃ 30.0％ 1016.36hPa
2017-05-05 12:26:59 28.6℃ 30.0％ 1016.39hPa
2017-05-05 12:27:21 28.7℃ 30.0％ 1016.40hPa
2017-05-05 12:27:43 28.6℃ 30.0％ 1016.28hPa
2017-05-05 12:28:11 28.6℃ 29.9％ 1016.40hPa
2017-05-05 12:28:33 28.6℃ 29.9％ 1016.38hPa
2017-05-05 12:28:55 28.6℃ 29.8％ 1016.34hPa
2017-05-05 12:29:18 28.7℃ 29.9％ 1016.36hPa
2017-05-05 12:29:40 28.6℃ 29.9％ 1016.37hPa
2017-05-05 12:30:02 28.6℃ 29.9％ 1016.36hPa
2017-05-05 12:30:27 28.6℃ 29.9％ 1016.37hPa
2017-05-05 12:30:49 28.6℃ 29.9％ 1016.40hPa
2017-05-05 12:31:12 28.7℃ 29.8％ 1016.40hPa
2017-05-05 12:31:34 28.7℃ 29.8％ 1016.34hPa
2017-05-05 12:31:56 28.7℃ 29.8％ 1016.39hPa
2017-05-05 12:32:19 28.7℃ 29.8％ 1016.35hPa
2017-05-05 12:32:41 28.7℃ 29.8％ 1016.44hPa
2017-05-05 12:33:03 28.6℃ 29.8％ 1016.37hPa
2017-05-05 12:33:26 28.6℃ 29.8％ 1016.38hPa
2017-05-05 12:33:50 28.7℃ 29.8％ 1016.43hPa
2017-05-05 12:34:13 28.7℃ 29.8％ 1016.42hPa
2017-05-05 12:34:35 28.7℃ 29.8％ 1016.46hPa
2017-05-05 12:34:57 28.7℃ 29.8％ 1016.38hPa
2017-05-05 12:35:20 28.6℃ 29.8％ 1016.39hPa
2017-05-05 12:35:42 28.7℃ 29.8％ 1016.35hPa
2017-05-05 12:36:04 28.7℃ 29.8％ 1016.32hPa
2017-05-05 12:36:27 28.7℃ 29.8％ 1016.36hPa
2017-05-05 12:36:49 28.6℃ 29.8％ 1016.33hPa
2017-05-05 12:37:11 28.7℃ 29.8％ 1016.32hPa
2017-05-05 12:37:33 28.7℃ 29.8％ 1016.27hPa
2017-05-05 12:37:58 28.7℃ 29.7％ 1016.24hPa
2017-05-05 12:38:21 28.7℃ 29.7％ 1016.31hPa
2017-05-05 12:38:43 28.6℃ 29.7％ 1016.28hPa
2017-05-05 12:39:05 28.7℃ 29.6％ 1016.31hPa
2017-05-05 12:39:28 28.8℃ 29.6％ 1016.38hPa
2017-05-05 12:39:50 28.7℃ 29.6％ 1016.32hPa
2017-05-05 12:40:12 28.7℃ 29.6％ 1016.28hPa
2017-05-05 12:40:34 28.7℃ 29.6％ 1016.29hPa
2017-05-05 12:40:57 28.8℃ 29.6％ 1016.17hPa
2017-05-05 12:41:19 28.8℃ 29.6％ 1016.27hPa
2017-05-05 12:41:41 28.8℃ 29.7％ 1016.31hPa
2017-05-05 12:42:04 28.9℃ 29.7％ 1016.24hPa
2017-05-05 12:42:26 28.8℃ 29.7％ 1016.31hPa
2017-05-05 12:42:48 28.7℃ 29.7％ 1016.29hPa
2017-05-05 12:43:11 28.8℃ 29.7％ 1016.32hPa
2017-05-05 12:43:33 28.8℃ 29.7％ 1016.23hPa
2017-05-05 12:43:55 28.8℃ 29.7％ 1016.30hPa
2017-05-05 12:44:17 28.9℃ 29.8％ 1016.28hPa
2017-05-05 12:44:40 28.7℃ 29.8％ 1016.27hPa
2017-05-05 12:45:02 28.8℃ 29.7％ 1016.32hPa
2017-05-05 12:45:24 28.8℃ 29.7％ 1016.29hPa
2017-05-05 12:45:47 28.8℃ 29.7％ 1016.26hPa
2017-05-05 12:46:09 28.7℃ 29.7％ 1016.23hPa
2017-05-05 12:46:31 28.8℃ 29.6％ 1016.28hPa
2017-05-05 12:46:54 28.7℃ 29.6％ 1016.29hPa
2017-05-05 12:47:16 28.8℃ 29.6％ 1016.31hPa
2017-05-05 12:47:43 28.9℃ 29.7％ 1016.19hPa
2017-05-05 12:48:06 28.8℃ 29.7％ 1016.22hPa
2017-05-05 12:48:28 28.8℃ 29.7％ 1016.29hPa
2017-05-05 12:48:50 28.8℃ 29.7％ 1016.26hPa
2017-05-05 12:49:12 29.0℃ 29.7％ 1016.25hPa
2017-05-05 12:49:35 28.9℃ 29.7％ 1016.21hPa
2017-05-05 12:49:57 28.9℃ 29.7％ 1016.25hPa
2017-05-05 12:50:19 28.9℃ 29.7％ 1016.24hPa
2017-05-05 12:50:44 28.8℃ 29.6％ 1016.22hPa
2017-05-05 12:51:07 28.9℃ 29.6％ 1016.25hPa
2017-05-05 12:51:29 28.9℃ 29.6％ 1016.26hPa
2017-05-05 12:51:51 28.8℃ 29.7％ 1016.32hPa
2017-05-05 12:52:13 28.8℃ 29.7％ 1016.26hPa
2017-05-05 12:52:36 28.9℃ 29.6％ 1016.29hPa
2017-05-05 12:53:03 28.9℃ 29.6％ 1016.22hPa
2017-05-05 12:53:25 28.9℃ 29.6％ 1016.30hPa
2017-05-05 12:53:48 28.9℃ 29.6％ 1016.35hPa
2017-05-05 12:54:10 29.0℃ 29.5％ 1016.37hPa
2017-05-05 12:54:32 29.0℃ 29.5％ 1016.36hPa
2017-05-05 12:54:55 28.9℃ 29.5％ 1016.40hPa
2017-05-05 12:55:17 28.9℃ 29.5％ 1016.33hPa
2017-05-05 12:55:39 28.9℃ 29.5％ 1016.35hPa
2017-05-05 12:56:02 28.9℃ 29.5％ 1016.41hPa
2017-05-05 12:56:24 28.9℃ 29.5％ 1016.33hPa
2017-05-05 12:56:46 28.9℃ 29.5％ 1016.31hPa
2017-05-05 12:57:08 28.9℃ 29.6％ 1016.35hPa
2017-05-05 12:57:31 29.0℃ 29.6％ 1016.31hPa
2017-05-05 12:57:53 28.9℃ 29.6％ 1016.34hPa
2017-05-05 12:58:15 28.9℃ 29.6％ 1016.32hPa
2017-05-05 12:58:38 28.9℃ 29.6％ 1016.28hPa
2017-05-05 12:59:00 28.9℃ 29.5％ 1016.29hPa
2017-05-05 12:59:22 28.9℃ 29.5％ 1016.26hPa
2017-05-05 12:59:45 29.0℃ 29.5％ 1016.25hPa
2017-05-05 13:00:07 29.0℃ 29.5％ 1016.24hPa
2017-05-05 13:00:29 29.0℃ 29.5％ 1016.15hPa
2017-05-05 13:00:52 29.0℃ 29.5％ 1016.26hPa
2017-05-05 13:01:14 29.0℃ 29.5％ 1016.26hPa
2017-05-05 13:01:36 29.0℃ 29.5％ 1016.28hPa
2017-05-05 13:01:59 29.0℃ 29.5％ 1016.25hPa
2017-05-05 13:02:21 29.1℃ 29.5％ 1016.17hPa
2017-05-05 13:02:43 29.0℃ 29.5％ 1016.31hPa
2017-05-05 13:03:05 29.0℃ 29.5％ 1016.24hPa
2017-05-05 13:03:28 29.0℃ 29.5％ 1016.26hPa
2017-05-05 13:03:50 29.0℃ 29.5％ 1016.21hPa
2017-05-05 13:04:12 28.9℃ 29.5％ 1016.22hPa
2017-05-05 13:04:35 28.9℃ 29.5％ 1016.18hPa
2017-05-05 13:04:57 28.9℃ 29.5％ 1016.26hPa
2017-05-05 13:05:22 29.0℃ 29.6％ 1016.33hPa
2017-05-05 13:05:44 29.0℃ 29.5％ 1016.26hPa
2017-05-05 13:06:06 29.0℃ 29.5％ 1016.34hPa
2017-05-05 13:06:31 29.0℃ 29.5％ 1016.27hPa
2017-05-05 13:06:54 29.0℃ 29.5％ 1016.33hPa
2017-05-05 13:07:16 29.0℃ 29.5％ 1016.27hPa
2017-05-05 13:07:38 28.9℃ 29.5％ 1016.27hPa
2017-05-05 13:08:01 29.0℃ 29.5％ 1016.34hPa
2017-05-05 13:08:23 29.0℃ 29.5％ 1016.27hPa
2017-05-05 13:08:45 29.0℃ 29.5％ 1016.27hPa
2017-05-05 13:09:07 29.0℃ 29.5％ 1016.25hPa
2017-05-05 13:09:30 29.0℃ 29.5％ 1016.30hPa
2017-05-05 13:09:52 29.0℃ 29.5％ 1016.22hPa
2017-05-05 13:10:14 29.0℃ 29.5％ 1016.20hPa
2017-05-05 13:10:37 29.0℃ 29.5％ 1016.24hPa
2017-05-05 13:10:59 29.0℃ 29.6％ 1016.26hPa
2017-05-05 13:11:21 29.0℃ 29.6％ 1016.23hPa
2017-05-05 13:11:43 29.0℃ 29.5％ 1016.18hPa
2017-05-05 13:12:06 29.0℃ 29.5％ 1016.15hPa
2017-05-05 13:12:28 29.1℃ 29.5％ 1016.15hPa
2017-05-05 13:12:50 29.1℃ 29.5％ 1016.21hPa
2017-05-05 13:13:13 29.1℃ 29.5％ 1016.20hPa
2017-05-05 13:13:35 29.1℃ 29.5％ 1016.27hPa
2017-05-05 13:13:57 29.2℃ 29.5％ 1016.20hPa
2017-05-05 13:14:20 29.1℃ 29.5％ 1016.25hPa
2017-05-05 13:14:45 29.1℃ 29.5％ 1016.23hPa
2017-05-05 13:15:07 29.0℃ 29.5％ 1016.26hPa
2017-05-05 13:15:29 29.1℃ 29.4％ 1016.24hPa
2017-05-05 13:15:51 29.1℃ 29.5％ 1016.22hPa
2017-05-05 13:16:16 29.1℃ 29.5％ 1016.24hPa
2017-05-05 13:16:39 29.1℃ 29.5％ 1016.22hPa
2017-05-05 13:17:01 29.1℃ 29.4％ 1016.18hPa
2017-05-05 13:17:23 29.1℃ 29.5％ 1016.17hPa
2017-05-05 13:17:45 29.2℃ 29.5％ 1016.18hPa
2017-05-05 13:18:08 29.2℃ 29.5％ 1016.16hPa
2017-05-05 13:18:30 29.1℃ 29.5％ 1016.07hPa
2017-05-05 13:18:52 29.1℃ 29.5％ 1016.09hPa
2017-05-05 13:19:17 29.0℃ 29.5％ 1016.09hPa
2017-05-05 13:19:39 29.0℃ 29.5％ 1016.05hPa
2017-05-05 13:20:02 29.1℃ 29.4％ 1016.20hPa
2017-05-05 13:20:27 29.2℃ 29.4％ 1016.21hPa
2017-05-05 13:20:49 29.1℃ 29.4％ 1016.19hPa
2017-05-05 13:21:11 29.1℃ 29.4％ 1016.16hPa
2017-05-05 13:21:34 29.2℃ 29.5％ 1016.09hPa
2017-05-05 13:21:56 29.2℃ 29.5％ 1016.08hPa
2017-05-05 13:22:21 29.1℃ 29.5％ 1016.13hPa
2017-05-05 13:22:43 29.2℃ 29.5％ 1016.00hPa
2017-05-05 13:23:05 29.1℃ 29.6％ 1016.06hPa
2017-05-05 13:23:28 29.1℃ 29.6％ 1016.01hPa
2017-05-05 13:23:50 29.2℃ 29.6％ 1016.00hPa
2017-05-05 13:24:12 29.1℃ 29.6％ 1015.99hPa
2017-05-05 13:24:35 29.2℃ 29.6％ 1016.02hPa
2017-05-05 13:24:57 29.2℃ 29.6％ 1016.00hPa
2017-05-05 13:25:19 29.2℃ 29.5％ 1016.02hPa
2017-05-05 13:25:41 29.2℃ 29.5％ 1016.01hPa
2017-05-05 13:26:06 29.1℃ 29.5％ 1015.94hPa
2017-05-05 13:26:29 29.2℃ 29.6％ 1015.97hPa
2017-05-05 13:26:51 29.1℃ 29.6％ 1016.01hPa
2017-05-05 13:27:13 29.2℃ 29.6％ 1015.92hPa
2017-05-05 13:27:36 29.2℃ 29.7％ 1015.94hPa
2017-05-05 13:27:58 29.2℃ 29.6％ 1015.99hPa
2017-05-05 13:28:23 29.1℃ 29.6％ 1016.02hPa
2017-05-05 13:28:50 29.2℃ 29.6％ 1016.00hPa
2017-05-05 13:29:12 29.3℃ 29.6％ 1015.92hPa
2017-05-05 13:29:35 29.2℃ 29.7％ 1015.94hPa
2017-05-05 13:29:57 29.2℃ 29.7％ 1015.95hPa
2017-05-05 13:30:19 29.2℃ 29.7％ 1015.97hPa
2017-05-05 13:30:44 29.1℃ 29.7％ 1015.89hPa
2017-05-05 13:31:07 29.3℃ 29.7％ 1015.88hPa
2017-05-05 13:31:29 29.2℃ 29.8％ 1015.84hPa
2017-05-05 13:31:51 29.2℃ 29.8％ 1015.90hPa
2017-05-05 13:32:13 29.3℃ 29.8％ 1015.92hPa
2017-05-05 13:32:36 29.2℃ 29.7％ 1015.90hPa
2017-05-05 13:32:58 29.3℃ 29.7％ 1015.94hPa
2017-05-05 13:33:20 29.3℃ 29.7％ 1015.89hPa
2017-05-05 13:33:43 29.3℃ 29.7％ 1015.92hPa
2017-05-05 13:34:05 29.3℃ 29.7％ 1015.95hPa
2017-05-05 13:34:27 29.3℃ 29.7％ 1015.88hPa
2017-05-05 13:34:50 29.2℃ 29.7％ 1015.83hPa
2017-05-05 13:35:12 29.3℃ 29.7％ 1015.95hPa
2017-05-05 13:35:37 29.3℃ 29.7％ 1015.89hPa
2017-05-05 13:35:59 29.3℃ 29.7％ 1015.93hPa
2017-05-05 13:36:21 29.3℃ 29.7％ 1015.88hPa
2017-05-05 13:36:49 29.3℃ 29.7％ 1015.90hPa
2017-05-05 13:37:11 29.3℃ 29.7％ 1015.88hPa
2017-05-05 13:37:33 29.3℃ 29.7％ 1015.93hPa
2017-05-05 13:38:01 29.3℃ 29.7％ 1015.94hPa
2017-05-05 13:38:25 29.3℃ 29.6％ 1015.94hPa
2017-05-05 13:38:48 29.4℃ 29.6％ 1015.97hPa
2017-05-05 13:39:10 29.3℃ 29.6％ 1015.93hPa
2017-05-05 13:39:32 29.4℃ 29.7％ 1015.92hPa
2017-05-05 13:39:55 29.3℃ 29.6％ 1015.94hPa
2017-05-05 13:40:17 29.3℃ 29.6％ 1015.97hPa
2017-05-05 13:40:42 29.4℃ 29.6％ 1015.89hPa
2017-05-05 13:41:04 29.4℃ 29.6％ 1015.90hPa
2017-05-05 13:41:26 29.4℃ 29.7％ 1015.96hPa
2017-05-05 13:41:49 29.4℃ 29.6％ 1016.02hPa
2017-05-05 13:42:11 29.3℃ 29.6％ 1015.93hPa
2017-05-05 13:42:36 29.3℃ 29.5％ 1015.95hPa
2017-05-05 13:42:58 29.3℃ 29.5％ 1015.86hPa
2017-05-05 13:43:23 29.4℃ 29.5％ 1015.97hPa
2017-05-05 13:43:45 29.4℃ 29.5％ 1016.01hPa
2017-05-05 13:44:08 29.4℃ 29.6％ 1016.03hPa
2017-05-05 13:44:35 29.5℃ 29.7％ 1016.13hPa
2017-05-05 13:44:57 29.4℃ 29.7％ 1015.99hPa
2017-05-05 13:45:20 29.4℃ 29.7％ 1016.00hPa
2017-05-05 13:45:42 29.4℃ 29.7％ 1015.98hPa
2017-05-05 13:46:04 29.3℃ 29.8％ 1016.01hPa
2017-05-05 13:46:26 29.3℃ 29.8％ 1016.04hPa
2017-05-05 13:46:49 29.4℃ 29.8％ 1016.01hPa
2017-05-05 13:47:11 29.4℃ 29.8％ 1015.92hPa
2017-05-05 13:47:33 29.4℃ 29.8％ 1016.03hPa
2017-05-05 13:47:56 29.4℃ 29.8％ 1015.93hPa
2017-05-05 13:48:18 29.3℃ 29.8％ 1016.00hPa
2017-05-05 13:48:40 29.3℃ 29.8％ 1015.96hPa
2017-05-05 13:49:05 29.4℃ 29.8％ 1015.96hPa
2017-05-05 13:49:27 29.5℃ 29.8％ 1015.91hPa
2017-05-05 13:49:50 29.4℃ 29.8％ 1016.02hPa
2017-05-05 13:50:12 29.4℃ 29.8％ 1015.98hPa
2017-05-05 13:50:34 29.4℃ 29.8％ 1016.03hPa
2017-05-05 13:50:57 29.4℃ 29.8％ 1015.98hPa
2017-05-05 13:51:19 29.4℃ 29.8％ 1016.03hPa
2017-05-05 13:51:41 29.4℃ 29.8％ 1015.99hPa
2017-05-05 13:52:04 29.4℃ 29.7％ 1015.96hPa
2017-05-05 13:52:26 29.5℃ 29.7％ 1015.92hPa
2017-05-05 13:52:48 29.5℃ 29.7％ 1015.98hPa
2017-05-05 13:53:13 29.5℃ 29.7％ 1015.90hPa
2017-05-05 13:53:35 29.4℃ 29.7％ 1015.98hPa
2017-05-05 13:54:00 29.5℃ 29.7％ 1015.92hPa
2017-05-05 13:54:22 29.5℃ 29.7％ 1015.94hPa
2017-05-05 13:54:45 29.5℃ 29.7％ 1015.95hPa
2017-05-05 13:55:07 29.5℃ 29.7％ 1015.92hPa
2017-05-05 13:55:32 29.4℃ 29.8％ 1015.96hPa
2017-05-05 13:55:54 29.5℃ 29.8％ 1015.88hPa
2017-05-05 13:56:16 29.4℃ 29.7％ 1015.90hPa
2017-05-05 13:56:39 29.5℃ 29.8％ 1015.98hPa
2017-05-05 13:57:01 29.5℃ 29.8％ 1015.87hPa
2017-05-05 13:57:23 29.6℃ 29.8％ 1015.95hPa
2017-05-05 13:57:48 29.6℃ 29.7％ 1015.89hPa
2017-05-05 13:58:10 29.4℃ 29.7％ 1015.94hPa
2017-05-05 13:58:35 29.4℃ 29.8％ 1015.90hPa
2017-05-05 13:58:57 29.5℃ 29.8％ 1015.88hPa
2017-05-05 13:59:20 29.6℃ 29.8％ 1015.95hPa
2017-05-05 13:59:42 29.5℃ 29.8％ 1015.96hPa
2017-05-05 14:00:04 29.4℃ 29.9％ 1015.96hPa
2017-05-05 14:00:27 29.5℃ 29.9％ 1015.90hPa
2017-05-05 14:00:49 29.4℃ 29.9％ 1015.90hPa
2017-05-05 14:01:11 29.4℃ 29.9％ 1015.87hPa
2017-05-05 14:01:34 29.4℃ 30.0％ 1015.91hPa
2017-05-05 14:01:58 29.4℃ 30.0％ 1015.92hPa
2017-05-05 14:02:21 29.5℃ 30.0％ 1015.91hPa
2017-05-05 14:02:43 29.5℃ 30.0％ 1015.90hPa
2017-05-05 14:03:05 29.5℃ 30.1％ 1015.86hPa
2017-05-05 14:03:28 29.5℃ 30.1％ 1015.92hPa
2017-05-05 14:03:50 29.5℃ 30.1％ 1015.95hPa
2017-05-05 14:04:12 29.5℃ 30.1％ 1015.93hPa
2017-05-05 14:04:35 29.4℃ 30.1％ 1015.89hPa
2017-05-05 14:04:57 29.5℃ 30.1％ 1015.88hPa
2017-05-05 14:05:19 29.6℃ 30.1％ 1015.96hPa
2017-05-05 14:05:41 29.5℃ 30.2％ 1015.87hPa
2017-05-05 14:06:06 29.5℃ 30.2％ 1015.91hPa
2017-05-05 14:06:31 29.6℃ 30.0％ 1015.89hPa
2017-05-05 14:06:53 29.5℃ 30.0％ 1015.81hPa
2017-05-05 14:07:16 29.6℃ 29.9％ 1015.76hPa
2017-05-05 14:07:38 29.5℃ 29.9％ 1015.85hPa
2017-05-05 14:08:00 29.5℃ 29.8％ 1015.80hPa
2017-05-05 14:08:23 29.5℃ 29.9％ 1015.79hPa
2017-05-05 14:08:45 29.6℃ 29.9％ 1015.83hPa
2017-05-05 14:09:07 29.5℃ 29.9％ 1015.94hPa
2017-05-05 14:09:30 29.5℃ 30.0％ 1015.83hPa
2017-05-05 14:09:52 29.6℃ 29.9％ 1015.81hPa
2017-05-05 14:10:14 29.6℃ 30.0％ 1015.83hPa
2017-05-05 14:10:36 29.7℃ 29.9％ 1015.84hPa
2017-05-05 14:10:59 29.7℃ 29.9％ 1015.85hPa
2017-05-05 14:11:21 29.7℃ 29.9％ 1015.83hPa
2017-05-05 14:11:43 29.7℃ 29.9％ 1015.89hPa
2017-05-05 14:12:06 29.6℃ 29.9％ 1015.89hPa
2017-05-05 14:12:28 29.6℃ 29.8％ 1015.86hPa
2017-05-05 14:12:50 29.6℃ 29.8％ 1015.83hPa
2017-05-05 14:13:13 29.6℃ 29.8％ 1015.82hPa
2017-05-05 14:13:35 29.6℃ 29.8％ 1015.79hPa
2017-05-05 14:13:57 29.7℃ 29.8％ 1015.82hPa
2017-05-05 14:14:20 29.6℃ 29.8％ 1015.84hPa
2017-05-05 14:14:42 29.6℃ 29.8％ 1015.76hPa
2017-05-05 14:15:04 29.6℃ 29.9％ 1015.79hPa
2017-05-05 14:15:27 29.6℃ 29.9％ 1015.83hPa
2017-05-05 14:15:51 29.7℃ 29.9％ 1015.76hPa
2017-05-05 14:16:14 29.6℃ 29.9％ 1015.80hPa
2017-05-05 14:16:36 29.7℃ 29.9％ 1015.81hPa
2017-05-05 14:16:58 29.6℃ 29.8％ 1015.82hPa
2017-05-05 14:17:20 29.6℃ 29.7％ 1015.87hPa
2017-05-05 14:17:43 29.7℃ 29.7％ 1015.86hPa
2017-05-05 14:18:08 29.7℃ 29.8％ 1015.86hPa
2017-05-05 14:18:30 29.6℃ 29.8％ 1015.81hPa
2017-05-05 14:18:52 29.7℃ 29.7％ 1015.78hPa
2017-05-05 14:19:20 29.8℃ 29.8％ 1015.85hPa
2017-05-05 14:19:44 29.7℃ 29.8％ 1015.71hPa
2017-05-05 14:20:07 29.7℃ 29.8％ 1015.72hPa
2017-05-05 14:20:29 29.8℃ 29.8％ 1015.82hPa
2017-05-05 14:20:51 29.7℃ 29.8％ 1015.75hPa
2017-05-05 14:21:16 29.7℃ 29.7％ 1015.81hPa
2017-05-05 14:21:38 29.7℃ 29.7％ 1015.75hPa
2017-05-05 14:22:00 29.7℃ 29.7％ 1015.80hPa
2017-05-05 14:22:28 29.8℃ 29.8％ 1015.76hPa
2017-05-05 14:22:50 29.7℃ 29.8％ 1015.74hPa
2017-05-05 14:23:15 29.8℃ 29.8％ 1015.73hPa
2017-05-05 14:23:37 29.7℃ 29.9％ 1015.75hPa
2017-05-05 14:24:00 29.7℃ 29.9％ 1015.76hPa
2017-05-05 14:24:22 29.7℃ 29.9％ 1015.71hPa
2017-05-05 14:24:44 29.7℃ 29.9％ 1015.70hPa
2017-05-05 14:25:06 29.7℃ 29.9％ 1015.78hPa
2017-05-05 14:25:29 29.8℃ 29.9％ 1015.67hPa
2017-05-05 14:25:51 29.8℃ 29.9％ 1015.68hPa
2017-05-05 14:26:13 29.8℃ 29.8％ 1015.67hPa
2017-05-05 14:26:36 29.8℃ 29.8％ 1015.66hPa
2017-05-05 14:26:58 29.8℃ 29.8％ 1015.65hPa
2017-05-05 14:27:20 29.8℃ 29.8％ 1015.70hPa
2017-05-05 14:27:43 29.9℃ 29.8％ 1015.72hPa
2017-05-05 14:28:05 29.8℃ 29.8％ 1015.63hPa
2017-05-05 14:28:27 29.9℃ 29.8％ 1015.65hPa
2017-05-05 14:28:50 29.9℃ 29.8％ 1015.69hPa
2017-05-05 14:29:12 30.0℃ 29.8％ 1015.65hPa
2017-05-05 14:29:39 29.9℃ 29.9％ 1015.67hPa
2017-05-05 14:30:04 30.0℃ 29.8％ 1015.66hPa
2017-05-05 14:30:26 29.9℃ 29.8％ 1015.66hPa
2017-05-05 14:30:49 30.0℃ 29.8％ 1015.63hPa
2017-05-05 14:31:11 29.9℃ 29.7％ 1015.72hPa
2017-05-05 14:31:33 30.0℃ 29.7％ 1015.63hPa
2017-05-05 14:31:56 30.0℃ 29.8％ 1015.73hPa
2017-05-05 14:32:18 30.0℃ 29.8％ 1015.62hPa
2017-05-05 14:32:40 29.9℃ 29.8％ 1015.67hPa
2017-05-05 14:33:03 29.9℃ 29.8％ 1015.59hPa
2017-05-05 14:33:25 30.0℃ 29.8％ 1015.67hPa
2017-05-05 14:33:47 29.9℃ 29.8％ 1015.57hPa
2017-05-05 14:34:10 30.0℃ 29.7％ 1015.59hPa
2017-05-05 14:34:32 30.0℃ 29.7％ 1015.59hPa
2017-05-05 14:34:54 30.0℃ 29.6％ 1015.57hPa
2017-05-05 14:35:16 30.0℃ 29.6％ 1015.61hPa
2017-05-05 14:35:39 30.0℃ 29.6％ 1015.55hPa
2017-05-05 14:36:01 30.1℃ 29.6％ 1015.56hPa
2017-05-05 14:36:23 30.1℃ 29.6％ 1015.58hPa
2017-05-05 14:36:45 30.1℃ 29.6％ 1015.58hPa
2017-05-05 14:37:10 30.0℃ 29.5％ 1015.60hPa
2017-05-05 14:37:35 30.1℃ 29.5％ 1015.53hPa
2017-05-05 14:37:57 30.0℃ 29.5％ 1015.59hPa
2017-05-05 14:38:20 30.0℃ 29.5％ 1015.51hPa
2017-05-05 14:38:42 30.0℃ 29.5％ 1015.54hPa
2017-05-05 14:39:04 30.0℃ 29.5％ 1015.46hPa
2017-05-05 14:39:27 30.1℃ 29.5％ 1015.52hPa
2017-05-05 14:39:49 30.1℃ 29.5％ 1015.51hPa
2017-05-05 14:40:11 30.0℃ 29.4％ 1015.60hPa
